"Meslek","Şehir","Nitelikler"
"Software Engineer"," ","  We are looking for new team members to support our international customers & partners. If adjectives such as Smart, Hard-Working, International, Entrepreneurial, Fast-Paced, and Success describe you, then we would like to get to know you.   PLEASE NOTE: Include with your resume/profile a one-paragraph cover that describes why you believe you're the best candidate for this role. Applications without such cover-letter will not be considered.   Role description:  International Partner and Customer technical support, Demo-scenarios & PoC build, Pre-sales support, Partner and Customer training – virtual classroom & onsite.     "
"Ofis Asistanı","İstanbul","MS Office programlarına hâkim, etkin bir şekilde kullanabilen,  Bilgisayar kullanma becerisi ve hızı üst seviyede olan,  En az 2 yıl ofis asistanı olarak çalışmış,  Analitik düşünebilen, pratik hareket edebilen, çözüm odaklı,   Etkin iletişim becerilerine sahip,   Planlama, organizasyon ve koordinasyon becerilerine sahip,  İş takibi ve analiz yeteneği yüksek,  Protokol ve insan ilişkilerinde başarılı, "
"Yazılım Geliştirme Uzmanı","Ankara","   Aday;  Üniversitelerin Bilgisayar, Yazılım mühendisliği, Bilişim teknolojileri veya ilgili bölümlerinden mezun olmalı.   En az 3 Yıl yazılım geliştirme tecrübesine sahip olmalı.   Takım çalışmasına yatkın olmalı.  Erkek adaylar askerliğini tamamlamış olmalı ya da askerliği en az iki yıl tecilli olmalı.  İyi derecede İngilizce biliyor olmalı.  "
"Yazılım Destek Uzmanı","Gaziantep","Güçlü sunum becerilerine sahip Zaman yönetimi konusunda iyi Tercihen Microsoft Dynamics Ax (Axapta) bilen Tercihen herhangi bir programlama dilinde uzmanlığı olan Tercihen X ++, .NET, C # veya SQL deneyimi olan Erkek adaylar için askerlik görevini tamamlamış     İŞ TANIMI  İş süreç ihtiyaçlarına göre ERP yazılım geliştirmek Analiz, tasarım, geliştirme, uygulama ve geliştirilen çözümü desteklemek Kullanıcı eğitimi gerçekleştirmek "
"Java Yazılım Uzmanı","İstanbul"," "
"Yazılım Uzmanı/İzmir"," "," "
"ASP.NET Yazılım Uzmanı","İstanbul"," "
"PL/SQL Yazılım Uzmanı","İstanbul"," "
"Yazılım Geliştirme Mühendisi","İstanbul","NodeJS ile en az iki proje geliştirmiş, Express, Mongoose, Swagger kullanmış Sunucu üzerine kurulumlar hakkında tecrübe sahibi Bitbucket ve git versiyon kontrol sistemleri bilen(Tecrübe 1yıl) NoSQL veritabanı hakkında bilgi sahibi (Tercihen MongoDB) Linux işletim sistemleri hakkında bilgi sahibi (Debian, Ubuntu, Centos) Teknik dokümanları analiz edebilecek seviyede İngilizce hakim Analitik düşünce yeteneğine sahip ve problem çözme becerisi yüksek, Back-End pozisyonunda Min. 2 yıl tecrübeli     İŞ TANIMI   "
"Yazılım Mühendisi","Eskişehir"," Web tasarım konusunda ileri derecede uzman,  Tercihen Linux, gömülü sistem kodlama, elektronik tasarım konularında bilgi sahibi,  İyi derecede İngilizce bilen,  Seyahat engeli olmayan,  Takım çalışmasına uygun, iletişim becerileri güçlü,  Analitik düşünce yeteneğine sahip ve problem çözme becerisi yüksek,  Erkek adaylar için askerlik hizmetini tamamlamış,  "
"Yazılım Mühendisi","Ankara"," "
"Yazılım Uzmanı"," "," "
"Sales Engineer","İstanbul"," Individually creating your own portfolio of customers  Driving to customers' premises in any city in Turkey when asked by your sales manager  Reporting to your sales manager and other managers in our organization  QUALIFICATIONS  Graduate of any engineering department of any Turkish public university   Having finished a Turkish public high school  Residing on Anatolian side of Istanbul  "
"İçerik Geliştirme Mühendisi","Ankara","Bu takımın bir parçası olarak yeni ve popüler bir alanda ilerlemek isteyen takım arkadaşları arıyoruz.  Genel Nitelikler:   Üniversitelerin elektronik, bilgisayar, mekatronik mühendisliği gibi bölümlerinden mezun, Elektronik donanımları hakkında bilgi sahibi ve projeler yapabilecek, 3B yazıcılar konusunda bilgili ve meraklı,  Mikro denetleyici mimarisi ve sayısal devreler konusunda bilgi sahibi, Diksiyonu düzgün, kamera karşısında ve topluluk önünde konuşabilecek, Özgüveni yüksek, yeni ürünler ve projeler konusunda tutkulu, Tercihen video çekim ve kurgu tekniklerinde tecrübeli, Tercihen sosyal medyayı etkin kullanabilen ve kendine ait bir youtube kanalı olan, Ankara'da ikamet eden veya ikamet edebilecek durumda olan, "
"Bilişim Teknolojileri Öğretmeni","Bursa"," bölümlerinden mezun ya da,  Bilgisayar Mühendisliği , Bilgisayar Bilimleri Mühendisliği, Kontrol ve Bilgisayar Mühendisliği , Yazılım Mühendisliği, Bilişim sistemleri Mühendisliği,  elektronik ve bilgisayar bölümü , Bilişim sistemleri ve teknolojileri , bilgisayar bilimleri  bölümlerinden mezun olup alanında yüksek lisans yapmış ya da formasyon almış olan  Alanında en az iki yıl deneyimi olan,  Eğitim projelerini araştıran, bilimsel gelişmelere açık,  Dinamik çalışma ortamında çalışmak isteyen,  Kendini geliştirmeyi seven, sorumluluk sahibi,  "
"Gömülü Yazılım Mühendisi","İstanbul"," "
"Siber Güvenlik Ar-Ge Mühendisi"," ","PROFEN Şirketler Grubu tarafından yürütülen teknoloji geliştirme faaliyetleri kapsamında, makine öğrenmesi, program analizi, optimizasyon, yapay zeka (AI) ve formal yöntemleri kullanarak siber-fiziksel sistemlerin siber güvenliğinin (cybersecurity) ve esnekliğinin (resiliency) sağlanması için gerçekleştirilecek Ar-Ge projelerinde görev yapacak mühendis ve araştırmacılar istihdam edilecektir. Projelerde siber-fiziksel sistemlerin modellenmesi, güvenlik açığı analizleri, siber saldırı algılama ve iyileştirme konularında temel yeteneklerin geliştirilmesi hedeflenmektedir.  Gerekli yetenekler:     Temel düzeyde uydu iletişimi ve uydu iletişim sistemleri kavramlarını anlamaya yönelik güçlü analitik becerilere sahip olma,     Yüksek seviyede programlama bilgisi,     Teknik konularda güçlü yazılı ve sözlü iletişim becerileri,     Bağımsız olarak veya proje ekibiyle birlikte çalışabilme.     Gerekli Deneyim:   Bilgisayar Bilimleri, Bilgisayar Mühendisliği, Elektrik/Elektronik Mühendisliği, Fizik, Matematik veya ilgili alanlarda en az lisans diploması,  En az üç (3) yıllık ilgili profesyonel iş deneyimi veya siber güvenlik alanında yüksek lisans/doktora diploması. "
"Yazılım Mühendisi","İstanbul","İlgili Üniversitelerin Bilgisayar Mühendisliği bölümlerden mezun, En az 5+ Yıl Tecrübeli Startup ortamında ve yoğunluğunda çalışmaya hazır IoT (Tercihen Arduino) ve Backend teknolojilerine hakim Data yapıları, SQL ve AWS gibi cloud server teknolojileri konusunda tecrübe sahibi Sistem ve ürün geliştirmede takımlara öncülük edebilecek Sorumluluk sahibi, özverili bir çalışma prensibi bulunan İletişim ve organizasyon becerileri gelişmiş, Analitik düşünme becerisine sahip, çözüm odaklı, Takım çalışmasına yatkın, gelişime açık, dinamik, Araştırmacı, analitik düşünebilen, bilimsel ve teknolojik yenilikleri takip edebilen, Entegre sistemleri konusunda tecrübeli.     "
"Web Yazılım Uzmanı","İstanbul"," "
"Yazılım Geliştirme Uzmanı","İstanbul","-Üniversitelerin Bilgisayar Mühendisliği veya Bilgisayar Programcılığı vb. bölümlerinden mezun,  -Yazılımla ilgili kullanıcı ihtiyaçlarını anlamak için kullanıcılarla konuşmak ve birlikte çalışmak   -Web tabanlı projede yer almış, tercihen e-ticaret sitesi geliştirmiş,  -C# .Net ve MS SQL Server ortamında en az 2-3 yıl çalışmış,  -C#, ASP.NET MVC, ASP.NET Core, WEP API, OOP, SOA, Design Patterns konularında tecrübeli,  -T-SQL veritabanı bilgisine sahip,  -HTML, CSS, JavaScript gibi web teknolojileri hakkında bilgi sahibi,  "
"Hbys Teknik Destek Uzmanı","İstanbul"," ·         Üniversitelerin 2 veya 4 yıllık ilgili bölümlerinden mezun olmak (tercihen Bilgisayar Mühendisliği ya da Bilgisayar Programcılığı),  ·         MS SQL bilgisine sahip,  ·         MS Office programlarını etkin kullanabilen,  ·         İstanbul' da  ikamet eden,  ·         Sürücü belgesi olan ve aktif araç kullanabilen, şehir dışı gitme ve kalma problemi olmayan,  ·         Yeni çözümler üretebilen, gelişime açık, analiz ve karar verebilme yeteneğine sahip, iletişim yönü kuvvetli, araştırma ve öğrenmeye istekli, ekip çalışmasına yatkın, sonuç odaklı, yaratıcılığı güçlü, zaman yönetiminde başarılı, yoğun iş temposuna ayak uydurabilecek,  ·         Erkek adaylar için askerlik hizmetini tamamlamış ya da en az 2 (iki) yıl tecilli,  "
"Yazılım Geliştirme Uzmanı","İstanbul"," "
"Web Yazılım Uzmanı","İstanbul"," "
"Yazılım Geliştirme Uzmanı","İstanbul","Türkiye’de mini PC pazarında adetsel ve proje bazlı en çok tercih edilen bilgisayar markası olan Technopc sağlıktan bankacılığa, eğitimden savunma sanayi sektörüne kadar geniş bir yelpazede hizmet vermekte, yeni kurulan veya teknolojisini iyileştirmek isteyen kurumlara çözümler sunmanın yanı sıra ihtiyaçların belirlenmesi ve ürün konumlandırması gibi konularda da hizmet sağlamaktadır.     20 yıldır Türkiye’nin büyüyen markası Technopc’de  “Yazılım Geliştirme Uzmanı"" pozisyonunda görev alacak ekip arkadaşı arıyoruz.     İş Tanımı:  Üniversitelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği veya Fen - Matematik bölümlerinden mezun, Veri analizi ve raporlama süreçleri için yazılım geliştirebilecek, Veri tabanı yapılarında çözüm geliştirebilen, MS-SQL veri tabanı, C#, ASP.NET, .NET Core ve tercihen SAP HANA deneyimine sahip, Web yazılım dillerinde(HTML, CSS, JavaScript ve kütüphaneleri) kod yazabilen, web sayfası geliştirebilen, "
"Dijital Çözümler İş Analisti","İstanbul","Sigorta sektörüne yönelik dijital projeler, mobil uygulamalar, analitik projeleri analiz etme, test etme ve bakımını yapmak, Proje koordinasyonunun uçtan uca desteklenmesi, Son kullanıcı deneyimini izleme ve sürekliliğini sağlamak, Yazılım Geliştirme yaşam döngüsü standartlarını artırmak.     Teknik Beceriler     Endüstri Mühendisliği, İşletme Mühendisliği, Matematik Mühendisliği, Bilgisayar Mühendisliği, MIS veya ilgili alanlarda eğitimini tamamlamış, Yazılım Geliştirme Yaşam Döngüsü'nde rol almak isteyen, pozitif ve tutkulu, İş analizi becerilerine sahip, "
"Mobil Uygulama Geliştiricisi (Uzaktan Çalışma)","Adana, Amasya, Ankara, Antalya, Balıkesir, Bursa, Denizli, Diyarbakır, Erzurum, Eskişehir, Gaziantep, Hatay, Mersin, İstanbul","         Restful, GraphQL Services, JSON          Kotlin Coroutines,          DataBinding ,          ViewBinding          Git, Git-Flow  Teknolojilerini kullanabilecek,          Üniversitelerin ilgili bölümlerinden mezun,          Android uygulama geliştirme konusundan en az 3 yıl deneyim sahibi,          Google Play Store üzerinde geliştirmiş olduğu uygulamaları referans gösterebilen,          Google Play Store üzerinde versiyon yönetimi ve analitik veriler konusunda deneyimli,          Tercihen Kotlin dilinde tecrübeli ya da öğrenmeye hevesli,          Design Patterns, Object Oriented programlama konusuna ve çok katmanlı mimarilere hakim (OOP),          Veri yapıları, algoritmalar ve tasarım kalıpları (Design Patterns) konusunda deneyimli, "
"Yazılım Stajyeri","İstanbul","  • Üniversitelerin mühendislik fakültelerinde 3. veya 4. sınıf öğrencisi,   • Teknolojileri öğrenmeye ve kendini geliştirmeye istekli,   • Temel yazılım ve SQL bilgisi olan,   • Takım oyuncusu ve sonuç odaklı,   • Güçlü iletişim becerilerine sahip,   • Kararlı ve azimli iseniz,   Bilge Adam ve Opthema Teknoloji olarak sizlerle çalışmak isteriz.   "
"Unity Game Developer","Kocaeli","  Requirements:  Strong experience in Unity3d Experience in working with C# Good knowledge of object oriented design and programming Strong analytical and technical problem solving skills 2+ years of experience in mobile game development At least one published title in App Store and/or Google Play using Unity3D Familiarities with Facebook, Firebase, Game Analytics, Adjust , Google Play Game Service , Cloud Messaging etc. libraries and APIs Building reusable code and libraries for future use and documenting them for fellow programmers Optimization of the application for maximum speed and scalability Implementation of security and data protection BS/MS/PhD degree in Computer Science or equivalent. "
"İç Denetçi","Tekirdağ"," Erkek adaylar için Askerliğini yapmış olmak,  Ecxel'i ileri düzeyde kullanabiliyor olmak,  Maliyet muhasebesi,planlama, gibi alanlarda  tecrübe edinmiş olmak,  ileri düzeyde Erp hakimiyetine sahip olmak,  Detaycı,sistemli,araştırmacı bir yapıya sahip olmak,      "
"ASP.NET Yazılım Uzmanı","Gaziantep"," "
"Yazılım Geliştirme Uzmanı","Ankara"," "
"Rf System Engineer","İstanbul","Task dispatching and critical missions, Dedicated to developing, manufacturing and marketing of PMR solutions; from analogue to digital, from conventional to trunking, from portable & mobile terminal to system equipment. Dedicated to developing, manufacturing and marketing of end to end IP Network solutions; from SDH to MPLS, from Wifi networks to wired networks.  Nevada’s success is based on its employees and their passion for their work, both present and the past, as the leader in the telecommunication sector in Turkey. As a new part of our professional team, we are now seeking for a ""RF System Engineer"" to be trained to join our team for project based multi stakeholder telecommunication market.   Are your ready for a new career in wireless communication?   As our candidate, you should have the following skills and knowledge;   Engineering degree (BSc. Or MBA) in Electronics and Communication or similar study from a reputable university with an honor or high honor degree,  "
